,name,url,description,addressCountry,postalCode,addressRegion,streetAddress,addressLocality,rating,image,priceRange,hasMap
0,Holiday Inn New Delhi International Airport,https://www.booking.com/hotel/in/holiday-inn-new-delhi-international-airport.html,"Offering an outdoor swimming pool, a fitness center and a spa and wellness center, Holiday Inn New Delhi International Airport is located in New Delhi.",India,110037,Delhi NCR,"Asset Area 12, Hospitality District, Aerocity, Delhi International Airport, 110037 New Delhi, India","Asset Area 12, Hospitality District, Aerocity, Delhi International Airport",8.7,https://r-cf.bstatic.com/images/hotel/max500/234/234890162.jpg,Prices for upcoming dates start at $88 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?zoom=15&center=28.5502374,77.1232054&sensor=false&size=1600x1200&markers=color:blue%7c28.5502374,77.1232054&client=gme-booking&channel=booking-frontend&signature=xLPj55PjGXhvg-tYLMMtjY2BPKU="
1,Airway Hotel,https://www.booking.com/hotel/in/platinum-delhi-airport-delhi-international-airport.html,"Located in New Delhi, 8 miles from Qutub Minar, Airway Hotel provides accommodations with a restaurant, free private parking, a shared lounge and a...",India,110037,Delhi NCR,"Plot No 187,Road no 4,Mahipalpur Extn Near Delhi International Airport, 110037 New Delhi, India","Plot No 187,Road no 4,Mahipalpur Extn Near Delhi International Airport",9.3,https://r-cf.bstatic.com/images/hotel/max500/232/232295542.jpg,Prices for upcoming dates start at $12 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?size=1600x1200&markers=color:blue%7c28.5561620,77.0999580&zoom=15&sensor=false&center=28.5561620,77.0999580&client=gme-booking&channel=booking-frontend&signature=OM1xs6vztR8gaElJPyx_r6T-RtA="
2,The Prime Balaji Deluxe @ New Delhi Railway Station,https://www.booking.com/hotel/in/the-prime-balaji-deluxe-new-delhi-railway-station.html,"Located just 328 feet from the New Delhi Railway Station, The Prime Balaji Deluxe @ New Delhi Railway Station operates a 24-hour front desk to assist...",India,110055,Delhi NCR,"8574, Arakashan Road, Behind Shiela Cinema, Paharganj, Paharganj, 110055 New Delhi, India","8574, Arakashan Road, Behind Shiela Cinema, Paharganj",8.0,https://r-cf.bstatic.com/images/hotel/max500/384/38416670.jpg,Prices for upcoming dates start at $39 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?zoom=15&center=28.6452603,77.2174773&markers=color:blue%7c28.6452603,77.2174773&sensor=false&size=1600x1200&client=gme-booking&channel=booking-frontend&signature=K1Daq2Qatmug5g60aglWkTsgliE="
3,Hotel Premium,https://www.booking.com/hotel/in/marina-by-prime-group-ofhotels.html,"Located in New Delhi, within 8 miles of Qutub Minar and 9 miles of Rashtrapati Bhavan, Hotel Premium provides accommodations with a shared lounge and free...",India,110037,Delhi NCR,"plot no 156 road no 2 Gali no 7 mahipalpur mahipalpur, 110037 New Delhi, India",plot no 156 road no 2 Gali no 7 mahipalpur mahipalpur,7.1,https://r-cf.bstatic.com/images/hotel/max500/226/226021159.jpg,Prices for upcoming dates start at $11 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?sensor=false&center=28.5561393,77.0999424&size=1600x1200&zoom=15&markers=color:blue%7c28.5561393,77.0999424&client=gme-booking&channel=booking-frontend&signature=K4RiR9Ep4y0ZbzgWCnPjqM3aNEM="
4,Hotel Sky,https://www.booking.com/hotel/in/sky-new-delhi.html,"Located in New Delhi, 8 miles from Qutub Minar, Hotel Sky provides accommodations with a restaurant, free private parking, a shared lounge and a terrace.",India,110037,Delhi NCR,"Mahipalpur Vasant Kunj Road,Near Aggarwal Sweet Near IGI Airport ,Mahipalpur Extn, 110037 New Delhi, India","Mahipalpur Vasant Kunj Road,Near Aggarwal Sweet Near IGI Airport ,Mahipalpur Extn",7.9,https://r-cf.bstatic.com/images/hotel/max500/232/232535147.jpg,Prices for upcoming dates start at $13 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?sensor=false&markers=color:blue%7c28.5559426,77.1011375&size=1600x1200&zoom=15&center=28.5559426,77.1011375&client=gme-booking&channel=booking-frontend&signature=LPAW3Ej7tiMBtg3atbnuhL9iynw="
5,Hotel The Westend Green,https://www.booking.com/hotel/in/yuvee-grand.html,"Located in New Delhi and with Qutub Minar reachable within 9 miles, Hotel The Westend Green provides express check-in and check-out, rooms, a shared...",India,110037,Delhi NCR,"Westend Green, Rangpuri, Mahipalpur , 110037 New Delhi, India","Westend Green, Rangpuri, Mahipalpur",7.6,https://r-cf.bstatic.com/images/hotel/max500/232/232923246.jpg,Prices for upcoming dates start at $9 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?size=1600x1200&markers=color:blue%7c28.5564603,77.0925785&zoom=15&sensor=false&center=28.5564603,77.0925785&client=gme-booking&channel=booking-frontend&signature=6OTXsxifn9eLW5tU49UkNEpZ6I0="
6,Hotel The Green Height,https://www.booking.com/hotel/in/galaxy-rooms.html,Hotel Galaxy Rooms offers rooms in New Delhi. This 3-star hotel offers free WiFi. Free private parking is available on site.,India,110037,Delhi NCR,"Westend Green farm,Near Shiv Murti(Statue),Rangpuri,Mahipalpur Extn, 110037 New Delhi, India","Westend Green farm,Near Shiv Murti(Statue),Rangpuri,Mahipalpur Extn",8.8,https://r-cf.bstatic.com/images/hotel/max500/232/232924730.jpg,Prices for upcoming dates start at $10 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?markers=color:blue%7c28.5562229,77.1014732&zoom=15&sensor=false&center=28.5562229,77.1014732&size=1600x1200&client=gme-booking&channel=booking-frontend&signature=SKhRinZVslVPg2yyYHWd8K3cQTA="
7,Treebo Trend Natraj Yes Please,https://www.booking.com/hotel/in/natraj-yes-please.html,"Located 66 feet from the R K Ashram Metro Station, 1148 feet from New Delhi Railway Station and 0.",India,110055,Delhi NCR,"1750, Chuna Mandi, Opposite Imperial Cinema, Pahar Ganj, Delhi 110055, Paharganj, 110055 New Delhi, India","1750, Chuna Mandi, Opposite Imperial Cinema, Pahar Ganj, Delhi 110055",8.0,https://r-cf.bstatic.com/images/hotel/max500/147/147589314.jpg,Prices for upcoming dates start at $16 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?markers=color:blue%7c28.6407767,77.2094116&center=28.6407767,77.2094116&size=1600x1200&zoom=15&sensor=false&client=gme-booking&channel=booking-frontend&signature=kE0LKND3ClpW0ZrsymFGCoaS9rQ="
8,Madpackers Delhi,https://www.booking.com/hotel/in/the-madpackers-hostel.html,Madpackers Delhi is located in New Delhi and provides a 24-hour front desk for the convenience of the guests.,India,110017,Delhi NCR,"S-39A, Third Floor, Panchsheel Park, 110017 New Delhi, India","S-39A, Third Floor, Panchsheel Park",8.7,https://r-cf.bstatic.com/images/hotel/max500/200/200099659.jpg,Prices for upcoming dates start at $7 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?markers=color:blue%7c28.5428494,77.2140706&size=1600x1200&zoom=15&sensor=false&center=28.5428494,77.2140706&client=gme-booking&channel=booking-frontend&signature=kZfnMwfpIaGLTP2MO8tJQB7n9q0="
9,Hotel Viva Palace,https://www.booking.com/hotel/in/viva-and-banquet.html,"Featuring a terrace and free WiFi, Hotel Viva Palace is located in New Delhi.",India,110037,Delhi NCR,"Delhi - Jaipur Expressway 443-L Mahipalpur, Near I.G.I. Airport (T3), Mahipalpur, 110037 New Delhi, India","Delhi - Jaipur Expressway 443-L Mahipalpur, Near I.G.I. Airport (T3)",7.0,https://r-cf.bstatic.com/images/hotel/max500/129/129770873.jpg,Prices for upcoming dates start at $27 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?center=28.5457861,77.1231354&sensor=false&size=1600x1200&zoom=15&markers=color:blue%7c28.5457861,77.1231354&client=gme-booking&channel=booking-frontend&signature=A-qZTO2s__7PwLHT401u1HqvQgo="
